V(grid)	V(plate)
-2.400000e+01	4.049393e+02
-2.400000e+01	4.049393e+02
-2.400000e+01	4.049393e+02
-2.400000e+01	4.049393e+02
-2.400000e+01	4.049393e+02
-2.400000e+01	4.049393e+02
-2.400000e+01	4.049393e+02
-2.400000e+01	4.049393e+02
-2.399999e+01	4.049393e+02
-2.399999e+01	4.049393e+02
-2.399998e+01	4.049393e+02
-2.399995e+01	4.049393e+02
-2.399990e+01	4.049393e+02
-2.399980e+01	4.049393e+02
-2.399961e+01	4.049393e+02
-2.399921e+01	4.049393e+02
-2.399843e+01	4.049393e+02
-2.399685e+01	4.049393e+02
-2.399371e+01	4.049393e+02
-2.398742e+01	4.049393e+02
-2.397483e+01	4.049393e+02
-2.394967e+01	4.049393e+02
-2.390279e+01	4.049393e+02
-2.385592e+01	4.049393e+02
-2.380904e+01	4.049393e+02
-2.376217e+01	4.049393e+02
-2.371529e+01	4.049393e+02
-2.366842e+01	4.049393e+02
-2.362154e+01	4.049393e+02
-2.357467e+01	4.049393e+02
-2.352779e+01	4.049393e+02
-2.348092e+01	4.049393e+02
-2.343404e+01	4.049393e+02
-2.338717e+01	4.049393e+02
-2.334029e+01	4.049393e+02
-2.329342e+01	4.049393e+02
-2.324654e+01	4.049393e+02
-2.319967e+01	4.049393e+02
-2.315279e+01	4.049393e+02
-2.310592e+01	4.049393e+02
-2.305904e+01	4.049393e+02
-2.301217e+01	4.049393e+02
-2.296529e+01	4.049393e+02
-2.291842e+01	4.049393e+02
-2.287154e+01	4.049393e+02
-2.282467e+01	4.049393e+02
-2.277779e+01	4.049393e+02
-2.273092e+01	4.049393e+02
-2.268404e+01	4.049393e+02
-2.263717e+01	4.049393e+02
-2.259029e+01	4.049393e+02
-2.254342e+01	4.049393e+02
-2.249654e+01	4.049393e+02
-2.244967e+01	4.049393e+02
-2.240279e+01	4.049393e+02
-2.235592e+01	4.049393e+02
-2.230904e+01	4.049393e+02
-2.226217e+01	4.049393e+02
-2.221529e+01	4.049393e+02
-2.216842e+01	4.049393e+02
-2.212154e+01	4.049393e+02
-2.207467e+01	4.049393e+02
-2.202779e+01	4.049393e+02
-2.198092e+01	4.049393e+02
-2.193404e+01	4.049393e+02
-2.188717e+01	4.049393e+02
-2.184029e+01	4.049393e+02
-2.179342e+01	4.049393e+02
-2.174654e+01	4.049393e+02
-2.169967e+01	4.049393e+02
-2.165279e+01	4.049393e+02
-2.160592e+01	4.049393e+02
-2.155904e+01	4.049393e+02
-2.151217e+01	4.049393e+02
-2.146529e+01	4.049393e+02
-2.141842e+01	4.049393e+02
-2.137154e+01	4.049393e+02
-2.132467e+01	4.049393e+02
-2.127779e+01	4.049393e+02
-2.123092e+01	4.049393e+02
-2.118404e+01	4.049393e+02
-2.113717e+01	4.049393e+02
-2.109029e+01	4.049393e+02
-2.104342e+01	4.049393e+02
-2.099654e+01	4.049393e+02
-2.094967e+01	4.049393e+02
-2.090279e+01	4.049393e+02
-2.085592e+01	4.049393e+02
-2.080904e+01	4.049393e+02
-2.076217e+01	4.049393e+02
-2.071529e+01	4.049393e+02
-2.066842e+01	4.049393e+02
-2.062154e+01	4.049393e+02
-2.057467e+01	4.049393e+02
-2.052779e+01	4.049393e+02
-2.048092e+01	4.049393e+02
-2.043404e+01	4.049393e+02
-2.038717e+01	4.049393e+02
-2.034029e+01	4.049393e+02
-2.029342e+01	4.049393e+02
-2.024654e+01	4.049393e+02
-2.019967e+01	4.049393e+02
-2.015279e+01	4.049393e+02
-2.010592e+01	4.049393e+02
-2.005904e+01	4.049393e+02
-2.001217e+01	4.049393e+02
-1.996529e+01	4.049393e+02
-1.991842e+01	4.049393e+02
-1.987154e+01	4.049393e+02
-1.982467e+01	4.049393e+02
-1.977779e+01	4.049393e+02
-1.973092e+01	4.049393e+02
-1.968404e+01	4.049393e+02
-1.963717e+01	4.049393e+02
-1.959029e+01	4.049393e+02
-1.954342e+01	4.049393e+02
-1.949654e+01	4.049393e+02
-1.944967e+01	4.049393e+02
-1.940279e+01	4.049393e+02
-1.935592e+01	4.049393e+02
-1.930904e+01	4.049393e+02
-1.926217e+01	4.049393e+02
-1.921529e+01	4.049393e+02
-1.916842e+01	4.049393e+02
-1.912154e+01	4.049393e+02
-1.907467e+01	4.049393e+02
-1.902779e+01	4.049393e+02
-1.898092e+01	4.049393e+02
-1.893404e+01	4.049393e+02
-1.888717e+01	4.049393e+02
-1.884029e+01	4.049393e+02
-1.879342e+01	4.049393e+02
-1.874654e+01	4.049393e+02
-1.869967e+01	4.049393e+02
-1.865279e+01	4.049393e+02
-1.860592e+01	4.049393e+02
-1.855904e+01	4.049393e+02
-1.851217e+01	4.049393e+02
-1.846529e+01	4.049393e+02
-1.841842e+01	4.049393e+02
-1.837154e+01	4.049393e+02
-1.832467e+01	4.049393e+02
-1.827779e+01	4.049393e+02
-1.823092e+01	4.049393e+02
-1.818404e+01	4.049393e+02
-1.813717e+01	4.049393e+02
-1.809029e+01	4.049393e+02
-1.804342e+01	4.049393e+02
-1.799654e+01	4.049393e+02
-1.794967e+01	4.049393e+02
-1.790279e+01	4.049393e+02
-1.785592e+01	4.049393e+02
-1.780904e+01	4.049393e+02
-1.776217e+01	4.049393e+02
-1.771529e+01	4.049393e+02
-1.766842e+01	4.049393e+02
-1.762154e+01	4.049393e+02
-1.757467e+01	4.049393e+02
-1.752779e+01	4.049393e+02
-1.748092e+01	4.049393e+02
-1.743404e+01	4.049393e+02
-1.738717e+01	4.049393e+02
-1.734029e+01	4.049393e+02
-1.729342e+01	4.049393e+02
-1.724654e+01	4.049393e+02
-1.719967e+01	4.049393e+02
-1.715279e+01	4.049393e+02
-1.710592e+01	4.049393e+02
-1.705904e+01	4.049393e+02
-1.701217e+01	4.049393e+02
-1.696529e+01	4.049393e+02
-1.691842e+01	4.049393e+02
-1.687154e+01	4.049393e+02
-1.682467e+01	4.049393e+02
-1.677779e+01	4.049393e+02
-1.673092e+01	4.049393e+02
-1.668404e+01	4.049393e+02
-1.663717e+01	4.049393e+02
-1.659029e+01	4.049393e+02
-1.654342e+01	4.049393e+02
-1.649654e+01	4.049393e+02
-1.644967e+01	4.049393e+02
-1.640279e+01	4.049393e+02
-1.635592e+01	4.049393e+02
-1.630904e+01	4.049393e+02
-1.626217e+01	4.049393e+02
-1.621529e+01	4.049393e+02
-1.616842e+01	4.049393e+02
-1.612154e+01	4.049393e+02
-1.607467e+01	4.049393e+02
-1.602779e+01	4.049393e+02
-1.598092e+01	4.049393e+02
-1.593404e+01	4.049393e+02
-1.588717e+01	4.049393e+02
-1.584029e+01	4.049393e+02
-1.579342e+01	4.049393e+02
-1.574654e+01	4.049393e+02
-1.569967e+01	4.049393e+02
-1.565279e+01	4.049393e+02
-1.560592e+01	4.049393e+02
-1.555904e+01	4.049393e+02
-1.551217e+01	4.049393e+02
-1.546529e+01	4.049393e+02
-1.541842e+01	4.049393e+02
-1.537154e+01	4.049393e+02
-1.532467e+01	4.049393e+02
-1.527779e+01	4.049393e+02
-1.523092e+01	4.049393e+02
-1.518404e+01	4.049393e+02
-1.513717e+01	4.049393e+02
-1.509029e+01	4.049393e+02
-1.504342e+01	4.049393e+02
-1.499654e+01	4.049393e+02
-1.494967e+01	4.049393e+02
-1.490279e+01	4.049393e+02
-1.485592e+01	4.049393e+02
-1.480904e+01	4.049393e+02
-1.476217e+01	4.049393e+02
-1.471529e+01	4.049393e+02
-1.466842e+01	4.049393e+02
-1.462154e+01	4.049393e+02
-1.457467e+01	4.049393e+02
-1.452779e+01	4.049393e+02
-1.448092e+01	4.049393e+02
-1.443404e+01	4.049393e+02
-1.438717e+01	4.049393e+02
-1.434029e+01	4.049393e+02
-1.429342e+01	4.049393e+02
-1.424654e+01	4.049393e+02
-1.419967e+01	4.049393e+02
-1.415279e+01	4.049393e+02
-1.410592e+01	4.049393e+02
-1.405904e+01	4.049393e+02
-1.401217e+01	4.049393e+02
-1.396529e+01	4.049393e+02
-1.391842e+01	4.049393e+02
-1.387154e+01	4.049393e+02
-1.382467e+01	4.049393e+02
-1.377779e+01	4.049393e+02
-1.373092e+01	4.049393e+02
-1.368404e+01	4.049393e+02
-1.363717e+01	4.049393e+02
-1.359029e+01	4.049393e+02
-1.354342e+01	4.049393e+02
-1.349654e+01	4.049393e+02
-1.344967e+01	4.049393e+02
-1.340279e+01	4.049393e+02
-1.335592e+01	4.049393e+02
-1.330904e+01	4.049393e+02
-1.326217e+01	4.049393e+02
-1.321529e+01	4.049393e+02
-1.316842e+01	4.049393e+02
-1.312154e+01	4.049393e+02
-1.307467e+01	4.049393e+02
-1.302779e+01	4.049393e+02
-1.298092e+01	4.049393e+02
-1.293404e+01	4.049393e+02
-1.288717e+01	4.049393e+02
-1.284029e+01	4.049393e+02
-1.279342e+01	4.049393e+02
-1.274654e+01	4.049393e+02
-1.269967e+01	4.049393e+02
-1.265279e+01	4.049393e+02
-1.260592e+01	4.049393e+02
-1.255904e+01	4.049393e+02
-1.251217e+01	4.049393e+02
-1.246529e+01	4.049393e+02
-1.241842e+01	4.049393e+02
-1.237154e+01	4.049393e+02
-1.232467e+01	4.049393e+02
-1.227779e+01	4.049393e+02
-1.223092e+01	4.049393e+02
-1.218404e+01	4.049393e+02
-1.213717e+01	4.049393e+02
-1.209029e+01	4.049393e+02
-1.204342e+01	4.049393e+02
-1.199654e+01	4.049393e+02
-1.194967e+01	4.049393e+02
-1.190279e+01	4.049393e+02
-1.185592e+01	4.049393e+02
-1.180904e+01	4.049393e+02
-1.176217e+01	4.049393e+02
-1.171529e+01	4.049393e+02
-1.166842e+01	4.049393e+02
-1.162154e+01	4.049393e+02
-1.157467e+01	4.049393e+02
-1.152779e+01	4.049393e+02
-1.148092e+01	4.049393e+02
-1.143404e+01	4.049393e+02
-1.138717e+01	4.049393e+02
-1.134029e+01	4.049393e+02
-1.129342e+01	4.049393e+02
-1.124654e+01	4.049393e+02
-1.119967e+01	4.049393e+02
-1.115279e+01	4.049393e+02
-1.110592e+01	4.049393e+02
-1.105904e+01	4.049393e+02
-1.101217e+01	4.049393e+02
-1.096529e+01	4.049393e+02
-1.091842e+01	4.049393e+02
-1.087154e+01	4.049393e+02
-1.082467e+01	4.049393e+02
-1.077779e+01	4.049393e+02
-1.073092e+01	4.049393e+02
-1.068404e+01	4.049392e+02
-1.063717e+01	4.049392e+02
-1.059029e+01	4.049392e+02
-1.054342e+01	4.049392e+02
-1.049654e+01	4.049392e+02
-1.044967e+01	4.049392e+02
-1.040279e+01	4.049392e+02
-1.035592e+01	4.049392e+02
-1.030904e+01	4.049392e+02
-1.026217e+01	4.049392e+02
-1.021529e+01	4.049392e+02
-1.016842e+01	4.049392e+02
-1.012154e+01	4.049392e+02
-1.007467e+01	4.049392e+02
-1.002779e+01	4.049392e+02
-9.980918e+00	4.049392e+02
-9.934043e+00	4.049392e+02
-9.887168e+00	4.049392e+02
-9.840293e+00	4.049392e+02
-9.793418e+00	4.049392e+02
-9.746543e+00	4.049392e+02
-9.699668e+00	4.049392e+02
-9.652793e+00	4.049392e+02
-9.605918e+00	4.049392e+02
-9.559043e+00	4.049392e+02
-9.512168e+00	4.049391e+02
-9.465293e+00	4.049391e+02
-9.418418e+00	4.049391e+02
-9.371543e+00	4.049391e+02
-9.324668e+00	4.049391e+02
-9.277793e+00	4.049391e+02
-9.230918e+00	4.049391e+02
-9.184043e+00	4.049390e+02
-9.137168e+00	4.049390e+02
